代码,名称,副名称,特性,正文,风味文本,背面名称,背面副名称,背面特性,背面正文,背面风味文本,
4241,探索纳克特,,,每个伊斯观测者获得冷漠。,逃离这座怪异城市远比你预想的要难。它有着数之不尽的房间，房间里布满各式各样未来风格的复杂仪器。,找寻出路,,,"将所有放在一边的地点放置入场(大图书馆、伟大种族的实验室、伊斯的太阳系仪、解构室、纳克特之塔)。
    从上述地点中随机选择一个地点。将放在一边的看管人支援放置入场，放到所选地点。<i>(注意：每个伊斯观测者不再具有冷漠关键词。)</i>",你探索会谈间周围的区域，花了一些时间，了解了更多有关这座城市和其住民的信息。这是蕴藏知识，进行研究的地方，这里的居民自称“伟大种族伊斯”。对于这座城市的大多区域，伊斯人允许你自由探索，不加以阻挠，但是仍有某些伊斯人跟着你，带着强烈的兴趣观察你的举动。在你经过这座城市的一段曲折步道时，你发现墙上有着一块面板。这是一种科技设备，你真希望你能懂。当你目瞪口呆地站在这面板前方时，观察着你的一个伊斯人谨慎地走上前来。它伸长了自己的一根附肢，用钳子转动面板。令你惊奇的是，你面前的墙壁滑开，映入眼帘的是另一系列房间。这个生物站到了一旁，给你让出道路。,
4242,禁止通行,,,"<b>目标</b> - 如果以下情况中，有三种情况已发生，你必须推进场景：
    - 有调查员“找到了归位程式”。
    - 有调查员“解剖了一个器官”。
    - 有调查员“进行了一次会谈”。
    - 有调查员“发现了现在的年份”。
    - 有调查员“启动了设备”。
    - 有调查员控制了看管人。",你必须找到回去的路。既然伊斯人能够带你来到这里，那肯定也有回去的办法……,归位程式,,,"你再也不必执行以下任何任务。但是，你在本场冒险结束之前执行的任务越多，就越容易能转移到你的人类身体中，这项程式失败或产生反作用的几率也更低。<b>但要当心……</b>
    将本场景放到胜利区，本面朝上，作为提醒。
    - 有调查员“找到了归位程式”。
    - 有调查员“解剖了一个器官”。
    - 有调查员“进行了一次会谈”。
    - 有调查员“发现了现在的年份”。
    - 有调查员“启动了设备”。
    - 有调查员控制了看管人。",你深信你已找到了伊斯人将你传送到这里的程式。但事实令人难以接受。你的身体从未被带到这里来。你的意识已被转移到这具身体中，属于这群生物的其中一个同胞。在其他的某个地方——在某个时空——这群该死的生物中的一员就居住在你的身体中。,
4243,回归自我,,,"每个伊斯观测者获得猎手。
    [action]花费1个线索：<b>抽取</b>。不抽取1张卡牌，改为抽取2张。如果你的手牌超出上限，抽取额外1张卡牌。
    <b>目标</b> - 如果幸存的每位调查员有至少10张手牌，立即推进场景。<i>(注意——记住要尽可能多地完成场景2b上列出的任务。)</i>",你已经收集了夺回身体掌控权所需的所有信息，但在你启动程式之前，你必须先扩展自己的思维。,回到未来,,,<b>(→结局1)</b>,"机器呼呼作响，发出剧烈的震动。你不得不秘密进行，结合你在这座城市的各个地区收集到的知识，花了几个小时才建造了这台机器。这是一台古怪的机器，由焊条、轮子、玻璃构成，大小与小型文件柜相仿。在正中央的一面圆形镜子映出你的异形倒影，镜中生物正盯着你看。
    你启动了这台机器，你感到你的灵魂受到牵动，你的意识被撕扯拉伸，横跨空间与时间的虚空。记忆如潮水一般涌入脑海。",
4244,伊斯人身体,另一形式的俘虏,怪物. 伊斯,"你的每个[[盟友]]支援获得[[伊斯]]特性。
    [reaction]在你将卡牌投入你正在执行的技能检定后：该卡牌上的技能图标数量翻倍。(每次检定仅限一次。)
    [elder_sign]效果：+2。抽取1张卡牌。",,,,,"<b>牌库卡牌张数：</b>与曾是人类时的卡牌张数一样。
    <b>牌库构建选项：</b>伊斯人不能构建牌库。
    <b>牌库构建需求</b>(不计入卡牌张数)：你还记得吗……？","向下望望自己的身体，整夜我都没能抑制住这种冲动。尽管我第一次向下看的时候，什么都没有发现。下一秒我意识到，那是因为我的脑袋在一条灵活的、长得惊人的脖子上。缩回脖子并飞快地向下瞥了一眼，我看见的是一个虹色的庞大锥体，高十英尺、底部宽十英尺，全身布满了鳞片和皱纹。就在那时，我从熟睡的深渊中发疯似的跳了起来，尖叫声惊醒了半个阿卡姆城。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4245,会谈间,抵达室,古代. 纳克特,[reaction]在你本地点开始自己的回合后，如果本地点有[[伊斯]]敌人：抽取1张卡牌。,"这里有着巨大的圆窗、高高的拱门，还有高度与一般房间同高的基座和桌子。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",,,古代. 纳克特,,"与此同时，被转移的意识将被送往转移者的时代和身体中，得到妥善的保护。阻止它伤害自己占有的身体，并且将由训练有素的提问者来榨干它的所有知识。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4246,会谈间,拘留室,古代. 纳克特,[action]：<b>谈判</b>。检定[intellect](4)或[combat](4)来讯问被拘留在此的意识。如果你检定成功，记住你“进行了一次会谈”。如果你检定失败，受到2点恐惧。,,,,古代. 纳克特,,"与此同时，被转移的意识将被送往转移者的时代和身体中，得到妥善的保护。阻止它伤害自己占有的身体，并且将由训练有素的提问者来榨干它的所有知识。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4247,会谈间,满是脓液的房间,古代. 纳克特,<b>强制</b> - 在你进入本地点后：检定[willpower](3)。你检定失败且每低于难度1点，受到1点恐惧。,一种无法辨认的淤泥覆盖着房间中央的大桌。这是一次失败的试验留下的吗？或者是某些更糟的东西？,,,古代. 纳克特,,"与此同时，被转移的意识将被送往转移者的时代和身体中，得到妥善的保护。阻止它伤害自己占有的身体，并且将由训练有素的提问者来榨干它的所有知识。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4248,纳克特廊道,北翼通道,古代. 纳克特,[free]在你回合期间，选择并弃掉一张手牌：移动到另一个纳克特廊道。(每回合仅限一次。),"然后我看见几幕景象，景象里我正穿过石砌的巨大走廊，在同样巨大的砖石结构的斜面上下走动。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",,北翼通道,古代. 纳克特,,"由此显示，黄沙之下正好覆盖着地球初期某种巨大建筑的一层——历经了千万年的地质剧变，这建筑是如何留存至今的？无论是那时还是现在，我都无法猜测其中的缘由。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4249,纳克特廊道,东翼通道,古代. 纳克特,[free]在你回合期间，选择并弃掉一张手牌：移动到另一个纳克特廊道。(每回合仅限一次。),"然后我看见几幕景象，景象里我正穿过石砌的巨大走廊，在同样巨大的砖石结构的斜面上下走动。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",,东翼通道,古代. 纳克特,,"由此显示，黄沙之下正好覆盖着地球初期某种巨大建筑的一层——历经了千万年的地质剧变，这建筑是如何留存至今的？无论是那时还是现在，我都无法猜测其中的缘由。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4250,纳克特廊道,西翼通道,古代. 纳克特,[free]在你回合期间，选择并弃掉一张手牌：移动到另一个纳克特廊道。(每回合仅限一次。),"然后我看见几幕景象，景象里我正穿过石砌的巨大走廊，在同样巨大的砖石结构的斜面上下走动。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",,西翼通道,古代. 纳克特,,"由此显示，黄沙之下正好覆盖着地球初期某种巨大建筑的一层——历经了千万年的地质剧变，这建筑是如何留存至今的？无论是那时还是现在，我都无法猜测其中的缘由。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4251,大图书馆,,古代. 纳克特,"[action]花费1[per_investigator]个线索：检定[intellect](3)来破译你找到的信息。如果你检定成功，记住你“找到了归位程式”。
    <b>强制</b> - 当一轮结束时，如果大图书馆上的线索数量不足4个：在大图书馆上放置线索，直至其上有4个线索。",,,,古代. 纳克特,,"在伊斯人宏大的图书馆里，存放着大量的文本和图画，有着地球万事万物的记录——记载着历史、所有曾经存在或将会诞生的物种，以及这些物种的艺术、成就、语言、心理的完整记录。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4252,伊斯的太阳系仪,,古代. 纳克特,"[action][action]如果伊斯的太阳系仪上没有线索：记住你“发现了现在的年份”。
    你位于伊斯的太阳系仪时，你手牌上限提高2张。",,,,古代. 纳克特,,"我似乎在使用钳子敲击声构成的某种奇怪的语言，来与太阳系各个角落被放逐的智慧对话。那里有一个意识体来自我们认知中的金星，源自遥不可及的未来，还有一个意识体来自六百万年前木星的一颗外围卫星。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4253,伟大种族的实验室,,古代. 纳克特,[action]如果伟大种族的实验室上没有线索：检定[agility](3)来操纵附近的先进设备。如果你检定成功，记住你“启动了设备”。如果你检定失败，在伟大种族的实验室上放置1个线索<i>(从供应堆拿取)</i>。,,,,古代. 纳克特,,"它们运用自己敏捷的思维，将自身投射到过去与未来，了解地球上已知的和未知的一切事物，甚至跨越了数百万年的鸿沟，去研究每一个时代的知识。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4254,解构室,,古代. 纳克特,[action]：检定[combat](4)来尝试从其中一具怪物尸体中取出宝贵的器官。解构室上每有一个线索，本次检定难度+1。如果你检定成功，记住你“解剖了一个器官”。,,,,古代. 纳克特,,"在我们的理解中，它们并非完全是物质的，它们的意识类型和感知媒介与陆生生物全然不同。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4255,纳克特之塔,,古代. 纳克特,[action]：弃掉你任意数量的手牌。将你的弃牌堆洗入你的牌库并抽取卡牌，抽取的张数等于你弃掉的手牌数+1。(每回合仅限一次。),你无法逃避自己面前的广阔沙漠，但如果就此放弃，你永远都无法夺回自己的身体。,,,古代. 纳克特,,"在某些地方，我曾看见巨大的黑色高塔，形似圆柱，远远高于其他建筑物。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",
4256,看管人,好奇的伊斯人,盟友. 伊斯,"[reaction]在调查阶段开始时，如果你控制着看管人：位于其所在地点的每位调查员抽取1张卡牌。
    [action]如果没有任何玩家控制看管人：<b>谈判</b>。检定[intellect](3)来与图书馆看管人交涉。如果你检定成功，你对它的某些怪异行径感到熟悉；在本卡牌上放置你的1个线索。然后，如果本卡牌上有1[per_investigator]线索，控制看管人。",,,,,,,
4257,大图书馆的监守人,,怪物. 伊斯,"<b>生成</b> - 大图书馆。
    警戒。冷漠。
    如果有调查员“找到了归位程式”或“发现了现在的年份”，大图书馆的监守人失去冷漠并获得猎手。",,,,,,,
4258,伊斯科学家,,怪物. 伊斯,"<b>生成</b> - 伟大种族的实验室。
    冷漠。
    如果有调查员“启动了设备”或“解剖了一个器官”，伊斯科学家失去冷漠并获得猎手。",,,,,,,
4259,伊斯学者,,怪物. 伊斯,"<b>猎物</b> - 手牌最多。
    <b>强制</b> - 在伊斯学者攻击你时：随机弃掉你2张手牌。
    [action]如果伊斯学者处于重整状态且与你交战：<b>谈判</b>。检定[intellect](3)来尝试扮作伟大种族的一员。如果你检定成功，抽取1张卡牌并躲避伊斯学者。如果你检定失败，伊斯学者攻击你。",,,,,,,
4260,伊斯人登场,,力量. 恐怖,"<b>显现</b> - 将伊斯人登场放置入场，放到你的威胁区域。
    如果你所在地点有[[伊斯]]敌人，你不能调查该地点或触发遭遇卡牌上的[action]能力<i>(包括本卡牌)</i>。
    [action]选择并弃掉2张手牌：弃掉伊斯人登场。",,,,,,,
4261,残酷拷问,,损伤. 恐怖,"<b>显现</b> - 将残酷拷问放置入场，放到你的威胁区域。如果有调查员“进行了一次会谈”，受到1点恐惧，并且残酷拷问获得涌动。
    你不能进行抽取行动。
    [action]：检定[willpower](2)。如果你检定成功，弃掉残酷拷问。",,,,,,,
4262,丧失人性,,恐怖,<b>显现</b> - 检定[willpower](5)。你检定失败且每低于难度1点，将你牌库顶的一张卡牌从游戏中移除。如果你手牌、牌库和弃牌堆的卡牌总数少于10张，则你发疯。,"能被消除的所有记忆都被消除了，所以在大多数情况下，记忆都只剩一片空白，停留在最初互换时。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",,,,,,
4263,被监禁的意识,,巫术,<b>显现</b> - 检定[willpower](0)。不管本次技能检定是成功还是失败，选择并将你的手牌弃至X张。X为你本次检定经过修正后的技能值。,那不是一场绑架，只是一次交换。,,,,,,
4264,离体体验,,疯狂. 悖论,<b>显现</b> - 将你所有手牌洗入你的牌库并抽取等量的卡牌。将离体体验洗入你的牌库。,"我的脑袋发痛，有种从未经历的怪异感觉——有人在试图占据我的脑海。
    <cite>H. P. 洛夫克拉夫特，《超越时间之影》</cite>",,,,,,
4277,幽嘶深渊,,,"简单/普通
    [skull]：-X。X为当前深度等级。
    [cultist]：揭示另一个标记。如果你检定失败，治愈你所在地点和连接地点的每个[[蛇族]]敌人2点伤害。
    [tablet]：揭示另一个标记。如果你检定失败，在你所在地点上放置1个线索<i>(从供应堆拿取)</i>。
    [elder_thing]：-2。如果胜利区内有至少3点复仇点数，改为你本次检定自动失败。",,,,,"困难 /专家
    [skull]：-X。X为当前深度等级。如果你检定失败，受到1点恐惧。
    [cultist]：揭示另一个标记。如果你检定失败，治愈你所在地点和连接地点的每个[[蛇族]]敌人2点伤害。
    [tablet]：揭示另一个标记。如果你检定失败，在你所在地点上放置1个线索<i>(从供应堆拿取)</i>。
    [elder_thing]：-4。如果胜利区内有至少3点复仇点数，改为你本次检定自动失败。",,
4278,开始下降,,,,你缓缓而谨慎地开始下降，进入名为幽嘶的闪着红光的洞穴。洞穴里很安静，在你周围的隧道里，只听得见石块剥落和你回荡着的脚步声。,被摧毁的城市,,,找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。,蛇族的遗迹陈旧破败，全无生机。这里所有的建筑几乎都倒塌了，只剩它们最大的几座城市连同雕像和它们的神像留存下来。这个领域定是在很久之前就遭到遗弃。,
4279,恐惧渐生,,,,你周围的各条隧道内渗出嘶嘶的叫声。你试图避开这片领域留存的怪物时，一双双蛇目从黑暗中紧盯着你。你在一条条狭窄的隧道里来回穿行，借助垮塌的墙壁和剥落破败的石柱藏匿行踪。,毒液之泉,,,"找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。
    检查你们的补给品。如果有调查员带有水壶，该调查员必须决定：
    - <i>这可能有用。</i>记住你“收集了一种奇怪的液体”。
    - <i>我不会靠近它半步。</i>你不承受负面效果。",你经过一片带有裂缝的泥地，这里曾经可能是个广场。在这广场中央，伫立着坍塌了一半的石制喷泉，如今已干涸得只剩骨架。在喷泉池最底部是一团糖浆似的黑色液体。,
4280,无尽洞窟,,,,你们现在确定了一点：这些洞穴是走不到头的。它们准是横跨了整个地球的地下层。你们还能到达联结点吗？还能回家吗？,深入地下,,,"找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。
    调查员队长选择一位调查员来担任队伍的侦查员。该调查员检查自己的补给品。
    如果侦查员有绳索，则其可以轻松爬上石崖，调查员不承受负面效果。
    如果侦查员没有绳索，其必须检定[combat]或[agility](5)。如果执行检定的调查员检定失败，其成功爬上石崖，但在攀爬过程中耗尽气力，其承受1点肉体创伤。",面前的道路被陡峭的石崖所阻挡。你们开始在四周寻找出路，就在此时，你们身后突然传来嘶嘶声和惊恐的叫声，整片地区沐浴在橙色的火光中。蛇族紧随其后——你们之中的一人必须安全爬上石崖，再把其他人拉上去！,
4281,血色城市,,,,洞穴不再寂静无声。蛇人愤怒的叫声和响动近在咫尺，催促你赶紧往前逃。洞穴那异常的红光变得愈发强烈。在红光之中，幽暗的古城披上了另一种伪装——不再扮作隐藏着知识的宝库，而是化身憎恶之地，憎恨你存在于此。,沉睡者的追击,,,"如果瓦卢西亚的预示者被放在一边，将它移动到追击区域。
    找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。",突然间数百条蛇发出了刺耳响声，响彻整个洞穴。你们已经进入了人类从来无意进入的领域。震耳欲聋的警报声穿刺着你们的耳膜，使你们耳朵流出鲜血。你们的一切感官都被淹没，徒劳地捂住耳朵。你们听不见自己的所思所想。警报声终于结束，你们不由自主地想要逃离此地。但是，你们知道如果现在离开，你们的举动会使全人类陷入险境。你们勇敢地，或者说愚蠢地继续前行。,
4282,撼地之怒,,,<b>强制</b> -  在第三个毁灭标记被放置到本密谋上后：找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。,蛇族已经在酝酿更为庞大、危险的阴谋，远远超过你本次旅程所面对的一切。你脸色惨白、汗流浃背、惊恐莫名，急忙想要从出口离开，随便哪个出口都行。,伊格现身,,,"找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。
    <hr><b>如果伊格被放在一边：</b>
    <blockquote><i>地面伴随着这头庞大生物的每一个脚步而震动摇晃。他有力的脚掌踩裂脚下每方石块，用长满鳞片、带有指甲的双手撕开墙壁。他对你投来憎恨的目光，残忍地露出饥饿的神情，下颌大张。</i></blockquote>
    将伊格生成在本深度等级开始时调查员所在地点。","找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。
    <hr><b>如果伊格被放在一边：</b>
    <blockquote><i>地面伴随着这头庞大生物的每一个脚步而震动摇晃。他有力的脚掌踩裂脚下每方石块，用长满鳞片、带有指甲的双手撕开墙壁。他对你投来憎恨的目光，残忍地露出饥饿的神情，下颌大张。</i></blockquote>
    将伊格生成在本深度等级开始时调查员所在地点。",
4283,赤红深渊,,,<b>强制</b> - 在有毁灭标记被放置到本密谋上后：找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。,随着你们下降得愈发深入，洞穴的那抹红光也变得更加明亮、照耀的范围也更大。如果不是有所了解，你们会以为自己将要落到地狱的最深处。,蛇族的终极噬咬,,,"找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。
    在本场冒险结束之前，当前密谋获得：“<b>强制</b> - 在有毁灭标记被放置到当前密谋上后：找出躲避值最高且处于追击中的敌人，将它生成在本深度等级开始时调查员所在的地点。”
    将本卡牌放到追击区域，本面朝上，作为提醒。",没人能阻止嘶嘶的住民。它们从你四面八方的隐秘处现身，嘶嘶地发出粗鄙的诅咒。随着蛇群逼近，洞穴内陷入混乱。,
4284,复仇,,,"<b>强制</b> - 当神话阶段的“检查毁灭阈值”步骤结束时：场上每有一个毁灭标记，调查员按照玩家顺序抽取额外1张遭遇卡牌。
    <b>目标</b> - 如果每位调查员被击败，推进本密谋。",你们不该来到这里。,裂口求生,,,<b>(→结局1)</b>,蛇群穿过隧道和被摧毁的幽嘶城市，无情地追赶着你们，使你们无处容身，无暇歇息，没有机会逃脱。你们不能指望躲过它们特异的感官，也不能一直逃下去。你们渴望着找到办法躲开它们——什么办法都行，于是你们逃向一个最近的裂口。这个裂口里面有着一座孤零零的狭窄小桥。在桥下方是漆黑的无底深渊，吞噬了幽嘶的红光。,
4285,前往联结点,,,"[action]如果你所在地点没有线索：<b>探索</b>。抽取探索牌库顶的一张卡牌。如果该卡牌是一个连接地点，将其放置入场，并移动到该地点。
    <b>目标</b> - 当一轮结束时，如果位于幽嘶的阶梯的调查员共同拥有所需数量的线索，可以推进场景。<i>(注意——不位于幽嘶的阶梯的所有调查员将被击败。)</i>","在我将要继续走下这条似乎看不到尽头的楼梯时，困惑与恐惧萦绕在我心中。这是否会没有尽头？
    <cite>H. P. 洛夫克拉夫特和泽利亚·毕晓普，《丘》</cite>",更深一级,,,"增加1资源到当前深度等级。如果当前深度等级为5+，并且你以剧本模式进行游戏，进入<b>(→结局2)</b>。
    否则，按照以下步骤执行：
    - 不位于幽嘶的阶梯的每位调查员被抛弃并且被击败。幸存的每位调查员失去其所有线索。
    - 将场上所有敌人移动到追击区域。
    - 移除场上地点上的所有毁灭标记。将场上和探索牌库的每个地点放在一边，位于场外。调查员在此过程期间不被击败。
    - 随机抽取一张放在一边的、除幽嘶的阶梯以外的地点，将其放置入场，将幸存的每位调查员放置在该地点。
    - 从放在一边的地点中拿出幽嘶的阶梯，再从中随机抽取4个地点，以此5张地点卡牌创建一个新的探索牌库。混洗探索牌库。
    - 将本场景翻面。尽你所能，向更深处探险……",,
4286,幽嘶的阶梯,,古代. 失落. 幽嘶,[reaction]在增加当前深度等级时，如果位于幽嘶的阶梯的调查员共同拥有5[per_investigator]个线索，幽嘶的阶梯的一位调查员从自己补给品中划掉绳索：增加额外1资源到当前深度等级。(每场游戏最多一次。),裂口上方有着一条弯曲的通道，通向一层层狭窄而陡峭的台阶，台阶沐浴在遥远下方发出的红色光芒之中。,,,,,,
4287,万蛇之城,,古代. 洞穴. 幽嘶,万蛇之城上没有线索时，该地点被视为在胜利区中(以计入复仇点数)。,"辛之墓群能够找到的手稿和雕刻少之又少，根据它们记载的信息，我们知道辛之墓群位于幽暗最大一座被摧毁的城市下方。
    <cite>H. P. 洛夫克拉夫特和泽利亚·毕晓普，《丘》</cite>",,,,,,
4288,异端教堂,,古代. 洞穴. 幽嘶,有调查员位于异端教堂时，该地点被视为在胜利区中(以计入复仇点数)。,"此处是仿造辛之墓群中所描绘的某种寺庙而建成的，用来供奉一尊极端可怖的黑色蟾蜍神像……
    <cite>H. P. 洛夫克拉夫特和泽利亚·毕晓普，《丘》</cite>",,,,,,
4289,岌岌可危的悬崖,,古代. 洞穴. 幽嘶,<b>强制</b> - 在你位于岌岌可危的悬崖并尝试探索时：检定[willpower](4)。如果你检定失败，检定[agility](3)。如果你检定失败，检定[combat](2)。如果你检定失败，你坠入深渊，阵亡。<i>(如果你在以上任一检定中成功，你如常探索。)</i>,走错一步……,,,,,,
4290,幽嘶洞群,,古代. 洞穴. 幽嘶,<b>强制</b> - 在幽嘶洞群入场后：在该地点上放置线索，数量等于当前深度等级。,"它们——或者它们的先祖最早是以野生形态发现于一处巨大遗迹，遗迹位于名为幽嘶的被遗弃的世界，闪耀着红光，而在其上方的是名为昆扬的世界，闪耀着蓝光。
    <cite>H. P. 洛夫克拉夫特和泽利亚·毕晓普，《丘》</cite>",,,,,,
4291,分岔路,,古代. 洞穴. 幽嘶,<b>强制</b> - 在你位于分岔路并尝试探索时，检查你的补给品。如果你带有地图：继续从探索牌库抽牌，直到你抽出2个连接地点(如可能)。将这两个地点放置入场，选择并移动到其中1个地点。,,,,,,,
4292,横跨恩凯之桥,,古代. 洞穴. 幽嘶,胜利区每有一点复仇点数，横跨恩凯之桥隐藏值+1。,"而使萨马科纳在萨托城陷入危险境地的另一个原因，则是他对恩凯一直以来的好奇心，那是一个无尽深渊，位于闪耀着红光的幽嘶下方……
    <cite>H. P. 洛夫克拉夫特和泽利亚·毕晓普，《丘》</cite>",,,,,,
4293,坍塌的通道,,古代. 洞穴. 幽嘶,<b>强制</b> - 在你位于坍塌的通道并尝试探索时，检查你的补给品。如果你没有鹤嘴锄：在坍塌的通道上放置1个毁灭标记。,"通往昆扬的各条地下通道，或者说曾是通向那里的通道，不是被堵住就是受到严密的看守；所有靠近那里的人都被视作危险的探子和敌人。
    <cite>H. P. 洛夫克拉夫特和泽利亚·毕晓普，《丘》</cite>",,,,,,
4294,被遗弃的仪式场所,,古代. 洞穴. 幽嘶,X为当前深度等级。,"他们较早的几支部族曾居住在这整个地下世界，这个地方向下延伸是深不可测的深渊，包括闪耀着蓝色光芒的区域和称作幽暗的红光区域，在那儿考古学家们发现了更为古老的遗物和非人种族。
    <cite>H. P. 洛夫克拉夫特和泽利亚·毕晓普，《丘》</cite>",,,,,,
4295,光耀峡谷,,古代. 洞穴. 幽嘶,"<b>强制</b> - 在你进入光耀峡谷后，如果你已中毒：受到1点伤害。
    [action]：检查你的补给品。如果你带有双筒望远镜，发现光耀峡谷的2个线索。(团队每深度等级仅限一次。)",,,,,,,
4296,伊格,万蛇之父,古神. 蛇族. 精英,"猎手。庞大。
    伊格得到+6[per_investigator]生命值。
    伊格所在地点上有另一个处于重整状态的[[蛇族]]敌人时，伊格不能受到伤害。
    伊格所在地点上的其他每个[[蛇族]]敌人获得警戒和反击。",,,,,,,
4297,深坑守卫,,类人. 怪物. 蛇族,"<b>生成</b> - 如果伊格在场，将深坑守卫生成在伊格所在地点。否则，将深坑守卫放置在追击区域。
    猎手。",,,,,,,
4298,深渊吞噬者,,怪物,"<b>生成</b> - 将随机一个放在一边的地点放置入场，并在该地点生成深渊吞噬者。
    猎手。庞大。
    X为当前深度等级。",,,,,,,
4299,瓦卢西亚之子,,阴谋,"<b>显现</b> - 将瓦卢西亚之子放置入场，放在密谋牌库旁。
    每个[[蛇族]]敌人得到+1攻击值和+1躲避值。
    <b>强制</b> - 当一轮结束时：从场上弃掉1张瓦卢西亚之子。(每轮最多一次。)",,,,,,,
4300,无光之影,,恐怖,<b>显现</b> - 检定[agility](1)。本次检定难度+X，X等于当前深度等级。如果你检定失败，受到2点伤害。,此物来自于下方的幽暗地域。这是一种被封印之物。它比你迄今见过的一切事物都要叫人生怖，即便是蛇人也会感到万分畏惧。,,,,,,
4301,深渊恐惧症,,恐怖,<b>显现</b> - 检定[willpower](1)。本次检定难度+X，X等于当前深度等级。如果你检定失败，受到2点恐惧。,"对于地球，我们仍然知之甚少。
    对此我们应该感到庆幸。",,,,,,
4302,蛇族的愤怒,,阴谋,<b>显现</b> - 如果没有[[蛇族]]敌人处于追击中，蛇族的愤怒获得涌动。否则，找出攻击值最高且处于追击中的[[蛇族]]敌人，它生成并与你交战。如果有敌人以此效果生成，检定[agility](X)，X为该敌人的攻击值。如果你检定失败，该敌人立即攻击你。,,,,,,,
4303,古代遗物,重拾往昔,道具. 遗物,[free]横置古代遗物：检定[willpower]或[intellect](4)。如果你检定成功，移除场上任一卡牌上的1个毁灭标记。(每场游戏最多一次成功。),你在这件遗物身上耗费了大量时间，研究到其创造者的身份，现在你知道了他们为什么要把它制造出来。伟大种族伊斯的覆灭时间已定……但这件遗物能够避免伊斯的倾覆。,,,,,,
4314,破碎永世,,,"简单/普通
    [skull]：-2 (如果古代遗物位于你所在地点，改为-4)。
    [cultist]：-2。如果你检定失败，或成功但没有超过难度至少1点，在最近的[[异教徒]]敌人上放置1个毁灭标记。
    [tablet]：-2。如果你已中毒，改为本次检定自动失败。
    [elder_thing]：-2。如果你检定失败，将遭遇弃牌堆顶的第一张[[巫术]]诡计卡牌洗入探索牌库。",,,,,"困难 /专家
    [skull]：-3 (如果古代遗物位于你所在地点，改为-5)。
    [cultist]：-3。如果你检定失败，或成功但没有超过难度至少1点，在每个[[异教徒]]敌人上放置1个毁灭标记。
    [tablet]：-3。如果你已中毒，改为本次检定自动失败。如果你未中毒且检定失败，将放在一边的一张中毒弱点卡牌放置入场，放到你的威胁区域。
    [elder_thing]：-3。将遭遇弃牌堆顶的第一张[[巫术]]诡计卡牌洗入探索牌库。",,
4315,时间之线,,,<b>强制</b> - 如果一位手牌、牌库、弃牌堆或游戏区域内有古代遗物的调查员退场：立即推进到密谋3b。,随着你踏入门廊另一头的巨大石室，联结点开始扰动。你脚下的地面开始震动，而墙壁逐渐剥离，摇摇欲坠。碎石漂浮在联结点上空。你的时间马上结束了：你周围的现实世界开始撕裂。,恩凯骤现,,,"将遭遇弃牌堆洗入遭遇牌库。
    将放在一边的无形之子生成在恩凯联结点上。
    将本卡牌放到胜利区。本卡牌获得<b>复仇1</b>。","你并非第一个闯入这个深坑的人。曾经有人警告你不要破坏封印，但你还是进来了。现在你得承担你愚蠢之举所带来的后果。
    某物从联结点另一端的无光虚空里出现。那是一团形态多变的黑色脓液，像是充满生机的粘稠软泥，用不成形的附肢在地面上爬行，它所路过之处的石面瓦解，留下一条光滑的足迹。",
